 written on 23Jan2026 at 14:34:11 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           2
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    2    2    0.52273740E-01  0.73683766E-09

   -1    3    0
    1    1    0.43161853E-02 -0.20906839E-09
    2    1   -0.19704891E-01 -0.51585222E-10
    1    2   -0.53661232E-04  0.88680240E-09
    2    2    0.43162031E-02  0.30798164E-09

   -1    4    0
    1    1   -0.45655276E-03 -0.16921482E-09
    2    1   -0.48232571E-03 -0.57827175E-09
    1    2    0.74917535E-03  0.57631805E-09
    2    2   -0.45662248E-03  0.19106279E-09

   -1    5    0
    1    1   -0.14012106E-03 -0.19886654E-09
    2    1   -0.40929600E-03 -0.45797795E-09
    1    2   -0.23292412E-04  0.36455117E-09
    2    2   -0.14011029E-03  0.19203042E-09

    0   -5    0
    1    1    0.96841358E-03 -0.48276227E-16
    2    1   -0.23179470E-03 -0.45231498E-09
    1    2   -0.23179470E-03  0.45231431E-09
    2    2    0.96846299E-03 -0.46112631E-16

    0   -4    0
    1    1   -0.68370573E-03 -0.44868720E-10
    2    1   -0.23179476E-03 -0.39677996E-09
    1    2    0.32833761E-03  0.62887678E-09
    2    2   -0.68372619E-03  0.26203524E-10

    0   -3    0
    1    1   -0.11122415E-02  0.27738708E-09
    2    1    0.32833679E-03 -0.49206729E-09
    1    2    0.73811245E-02  0.10090896E-08
    2    2   -0.11121715E-02 -0.29749356E-09

    0   -2    0
    1    1   -0.20082771E-01  0.69351041E-09
    2    1    0.73811256E-02 -0.82965609E-09
    1    2    0.19682245E-01  0.15722352E-08
    2    2   -0.20083060E-01 -0.74271742E-09

    0   -1    0
    1    1    0.23947020E+00  0.36594498E-09
    2    1    0.19682280E-01 -0.17952817E-08
    1    2   -0.28873553E+01  0.19589006E-09
    2    2    0.23946390E+00 -0.40485490E-09

    0    0    0
    1    1   -0.13273215E+01  0.24341314E-16
    2    1   -0.28873556E+01 -0.13292620E-08
    1    2   -0.28873556E+01  0.13292620E-08
    2    2   -0.13270692E+01  0.10107186E-16

    0    1    0
    1    1    0.23947020E+00 -0.36594496E-09
    2    1   -0.28873553E+01 -0.19589006E-09
    1    2    0.19682280E-01  0.17952817E-08
    2    2    0.23946390E+00  0.40485488E-09

    0    2    0
    1    1   -0.20082771E-01 -0.69351042E-09
    2    1    0.19682245E-01 -0.15722352E-08
    1    2    0.73811256E-02  0.82965609E-09
    2    2   -0.20083060E-01  0.74271740E-09

    0    3    0
    1    1   -0.11122415E-02 -0.27738708E-09
    2    1    0.73811245E-02 -0.10090896E-08
    1    2    0.32833679E-03  0.49206729E-09
    2    2   -0.11121715E-02  0.29749353E-09

    0    4    0
    1    1   -0.68370573E-03  0.44868697E-10
    2    1    0.32833761E-03 -0.62887678E-09
    1    2   -0.23179476E-03  0.39677996E-09
    2    2   -0.68372619E-03 -0.26203524E-10

    0    5    0
    1    1    0.96841358E-03  0.62046605E-16
    2    1   -0.23179470E-03 -0.45231431E-09
    1    2   -0.23179470E-03  0.45231498E-09
    2    2    0.96846299E-03  0.64180957E-16

    1   -5    0
    1    1   -0.14012106E-03  0.19886655E-09
    2    1   -0.23292412E-04 -0.36455117E-09
    1    2   -0.40929600E-03  0.45797795E-09
    2    2   -0.14011029E-03 -0.19203041E-09

    1   -4    0
    1    1   -0.45655276E-03  0.16921483E-09
    2    1    0.74917535E-03 -0.57631805E-09
    1    2   -0.48232571E-03  0.57827175E-09
    2    2   -0.45662248E-03 -0.19106278E-09

    1   -3    0
    1    1    0.43161853E-02  0.20906840E-09
    2    1   -0.53661232E-04 -0.88680240E-09
    1    2   -0.19704891E-01  0.51585222E-10
    2    2    0.43162031E-02 -0.30798165E-09

    1   -2    0
    1    1    0.52272989E-01  0.60562042E-09
    2    1   -0.13036625E-01 -0.10658179E-08
    1    2    0.19682276E-01 -0.15149322E-08
    2    2    0.52273740E-01 -0.73683767E-09

    1   -1    0
    1    1    0.23947000E+00  0.24173462E-08
    2    1   -0.25840219E+00 -0.35339278E-09
    1    2   -0.25840219E+00 -0.38404663E-09
    2    2    0.23946398E+00 -0.24541451E-08

    1    0    0
    1    1    0.23947020E+00  0.18517466E-08
    2    1   -0.28873553E+01  0.17939894E-09
    1    2    0.19682282E-01  0.10426069E-08
    2    2    0.23946390E+00 -0.18547216E-08

    1    1    0
    1    1    0.52273007E-01  0.11193396E-10
    2    1   -0.25840223E+00 -0.19669444E-08
    1    2   -0.19704896E-01  0.14701966E-09
    2    2    0.52273741E-01  0.62319376E-11

    1    2    0
    1    1    0.43161844E-02 -0.28329472E-09
    2    1   -0.13036627E-01 -0.81117220E-09
    1    2   -0.48232604E-03  0.17217666E-09
    2    2    0.43162035E-02  0.23098292E-09

    1    3    0
    1    1   -0.45655301E-03  0.22708606E-09
    2    1   -0.53660366E-04 -0.47382698E-09
