 written on  4Feb2026 at 16:32:24 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           4
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    2    4    0.27723470E-03 -0.44058830E-08
    3    4    0.28170650E-03  0.69010316E-08
    4    4   -0.24677506E-03 -0.54673198E-08

   -4    0    0
    1    1    0.59709894E-05  0.73512407E-08
    2    1   -0.49126418E-03  0.10577257E-07
    3    1    0.38004273E-04  0.10557788E-07
    4    1    0.34657311E-03 -0.80126251E-09
    1    2    0.95715367E-03 -0.47984699E-08
    2    2    0.44642817E-03  0.11955290E-07
    3    2   -0.32663101E-03 -0.56922623E-08
    4    2    0.38021981E-04 -0.15072577E-07
    1    3   -0.40198306E-03  0.28902365E-08
    2    3   -0.32664077E-03 -0.55263737E-09
    3    3    0.44678538E-03 -0.73493867E-08
    4    3   -0.49102138E-03 -0.28712031E-08
    1    4    0.87086089E-03 -0.89739148E-08
    2    4   -0.40238131E-03  0.26447429E-08
    3    4    0.95804320E-03  0.70171833E-08
    4    4    0.60066522E-05 -0.51157414E-08

   -4    1    0
    1    1    0.52107662E-04  0.14792266E-09
    2    1    0.28266298E-03 -0.29121955E-08
    3    1    0.27673832E-03  0.53837101E-08
    4    1   -0.40048699E-03 -0.36716763E-08
    1    2   -0.18768997E-02 -0.13084891E-07
    2    2    0.19992724E-03 -0.50537744E-08
    3    2   -0.27515030E-03  0.28423669E-08
    4    2    0.27723637E-03 -0.12814394E-07
    1    3    0.30935490E-03  0.19524628E-07
    2    3    0.23392171E-03  0.12408568E-07
    3    3    0.19997497E-03 -0.78944334E-08
    4    3    0.28170384E-03  0.10504609E-07
    1    4   -0.14067009E-02  0.98869869E-09
    2    4    0.30971593E-03 -0.10355099E-07
    3    4   -0.18778326E-02  0.11868928E-07
    4    4    0.52000306E-04 -0.59758077E-08

   -4    2    0
    1    1    0.12946260E-02  0.70169291E-08
    2    1   -0.50305874E-03  0.46958968E-08
    3    1   -0.34778713E-04  0.50506049E-08
    4    1    0.44562186E-03 -0.52334585E-08
    1    2   -0.18769108E-02 -0.14942047E-07
    2    2    0.12536117E-02  0.13665819E-07
    3    2   -0.30601031E-03  0.31389382E-08
    4    2   -0.34670046E-04 -0.91325561E-08
    1    3    0.30936255E-03  0.14530118E-07
    2    3   -0.84835823E-03 -0.50177565E-08
    3    3    0.12544624E-02 -0.10592826E-07
    4    3   -0.50314197E-03 -0.75154729E-08
    1    4    0.87086365E-03  0.89379831E-08
    2    4    0.30972774E-03 -0.18547863E-08
    3    4   -0.18778389E-02  0.17088343E-07
    4    4    0.12954425E-02 -0.10151972E-07

   -4    3    0
    1    1    0.52121307E-04  0.68714572E-08
    2    1   -0.50305981E-03  0.32500219E-08
    3    1   -0.34769128E-04 -0.10098654E-08
    4    1   -0.43454071E-03  0.76411394E-08
    1    2    0.95715821E-03 -0.40321554E-08
    2    2    0.19992107E-03  0.40282907E-08
    3    2   -0.27514574E-03  0.11317948E-08
    4    2   -0.34672258E-04  0.15131397E-08
    1    3   -0.40199362E-03 -0.12314745E-07
    2    3    0.23392546E-03 -0.57970926E-08
    3    3    0.19998103E-03 -0.47056522E-08
    4    3   -0.50314158E-03 -0.60497214E-08
    1    4   -0.16590491E-03 -0.10718140E-07
    2    4   -0.40237754E-03 -0.89632806E-08
    3    4    0.95805190E-03  0.21219061E-08
    4    4    0.51996781E-04  0.29234809E-08

   -4    4    0
    1    1    0.59593933E-05  0.23237610E-08
    2    1    0.28266198E-03 -0.50575776E-08
    3    1    0.27674444E-03  0.10925456E-07
    4    1    0.44562491E-03 -0.91516093E-08
    1    2    0.28265107E-03 -0.38630600E-08
    2    2    0.44643879E-03  0.25984948E-08
    3    2   -0.32664911E-03 -0.26813557E-08
    4    2    0.27723551E-03 -0.10001992E-07
    1    3    0.27674260E-03  0.21305287E-09
    2    3   -0.32664153E-03 -0.15034855E-08
    3    3    0.44677576E-03 -0.21029813E-08
    4    3    0.28170265E-03  0.69743620E-08
    1    4    0.44562984E-03  0.69873257E-08
    2    4    0.27723578E-03 -0.44482497E-08
    3    4    0.28170212E-03  0.16642300E-07
    4    4    0.60027176E-05  0.34274705E-08

   -4    5    0
    1    1   -0.24686078E-03  0.27470452E-08
    2    1   -0.49127792E-03 -0.12036833E-08
    3    1    0.38004739E-04 -0.92581880E-09
    4    1   -0.40048634E-03  0.64574037E-08
    1    2    0.14105425E-03 -0.16511427E-07
    2    2   -0.21766280E-03  0.30151931E-08
    3    2    0.15618127E-03  0.29671051E-08
    4    2    0.38015626E-04 -0.63078958E-08
    1    3   -0.44324840E-03  0.10847897E-07
    2    3   -0.12680541E-03 -0.61464470E-08
    3    3   -0.21746502E-03  0.94303235E-09
    4    3   -0.49101403E-03  0.25199691E-08
    1    4   -0.71716364E-04 -0.52045655E-08
    2    4   -0.44341953E-03 -0.64637124E-08
