 written on 26Jan2026 at 09:08:27 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           4
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    4    3    0.11068463E-02 -0.26781683E-08
    1    4    0.13218074E-03  0.80183719E-08
    2    4    0.14588054E-03 -0.11466604E-07
    3    4    0.65744387E-02 -0.72141567E-08
    4    4   -0.27617344E-02  0.11873743E-07

   -3    1    0
    1    1    0.34133089E-02 -0.96451435E-09
    2    1   -0.72532267E-03  0.24587526E-08
    3    1   -0.76760320E-04  0.11347829E-08
    4    1    0.10256523E-03 -0.54075949E-09
    1    2   -0.11471038E-01  0.86254394E-09
    2    2    0.34133087E-02 -0.34599572E-08
    3    2   -0.34585418E-03  0.15223208E-08
    4    2   -0.77014411E-04  0.40534704E-08
    1    3   -0.77017980E-04  0.13726498E-07
    2    3    0.10256012E-03  0.42860559E-08
    3    3    0.34156342E-02 -0.19912083E-08
    4    3   -0.72648262E-03 -0.10355832E-07
    1    4   -0.34583518E-03  0.15260353E-08
    2    4   -0.76746554E-04 -0.44818769E-09
    3    4   -0.11479576E-01  0.21462556E-08
    4    4    0.34156224E-02 -0.93157582E-08

   -3    2    0
    1    1    0.34133028E-02 -0.17731229E-07
    2    1   -0.26989489E-02 -0.24649280E-09
    3    1   -0.76767210E-04  0.19337805E-07
    4    1    0.13936449E-03 -0.50819860E-08
    1    2    0.65730717E-02  0.25825778E-09
    2    2    0.34133142E-02 -0.48326163E-08
    3    2    0.13217036E-03 -0.18100608E-08
    4    2   -0.77028028E-04 -0.96906090E-08
    1    3   -0.77022864E-04  0.11436083E-07
    2    3    0.13936557E-03 -0.54573851E-08
    3    3    0.34156352E-02 -0.51665991E-08
    4    3   -0.26996904E-02  0.37082044E-08
    1    4    0.13216931E-03  0.52463826E-08
    2    4   -0.76752965E-04 -0.10512732E-07
    3    4    0.65744454E-02  0.24738273E-08
    4    4    0.34156481E-02  0.92064310E-08

   -3    3    0
    1    1   -0.27626750E-02  0.17854794E-08
    2    1   -0.72531879E-03 -0.83178502E-08
    3    1    0.14587867E-03 -0.69035897E-09
    4    1    0.10255599E-03  0.55732775E-10
    1    2   -0.72531141E-03  0.57887085E-08
    2    2   -0.27626857E-02 -0.33530859E-08
    3    2    0.10256569E-03 -0.14504712E-08
    4    2    0.14587364E-03 -0.34815874E-08
    1    3    0.14586684E-03  0.23860329E-08
    2    3    0.10256592E-03 -0.90324736E-09
    3    3   -0.27617332E-02  0.59836009E-08
    4    3   -0.72648048E-03 -0.27737331E-09
    1    4    0.10255950E-03  0.33684259E-08
    2    4    0.14588256E-03 -0.15918680E-08
    3    4   -0.72648176E-03  0.64377404E-08
